Trade History: Trade History
Contracts,Leverage,Direction,Order No.,Transaction Time(UTC+8),Order Type,Filled Type,Filled Qty,Filled Price,Fees,Liquidation fee,Position order no.,P/L,Margin,Close price,Swaps,Opening fee,Withholding profit,Net P/L
SOLUSDT,50,SELL,142508318,2026-08-19 22:38:59,Take profit,CLOSE,5.00,78.74000000,-0.18000000,-,33003395,15.95000000,7.55500000,78.74000000,-,-,-,-
SOLUSDT,20,SELL,141432341,2026-08-10 15:58:14,Market,CLOSE,20.00,76.88000000,-,-,32997610,7.40000000,76.51000000,76.88000000,-,-,-,-
SOLUSDT,50,BUY,139937909,2026-07-27 22:30:23,Limit,OPEN,5.00,75.55000000,-0.09000000,-,33003395,-,7.55500000,-,-,-,-,-
SOLUSDT,20,BUY,139900580,2026-07-27 15:58:13,Market,OPEN,20.00,76.51000000,-,-,32997610,-,76.51000000,-,-,-,-,-
SOLUSDT,20,BUY,139612667,2026-07-24 22:16:20,Market,CLOSE,13.00,73.91000000,-,-,32941563,25.09000000,49.29600000,73.91000000,-,-,-,-
SOLUSDT,20,SELL,139564618,2026-07-24 11:28:43,Market,OPEN,13.00,75.84000000,-,-,32941563,-,49.29600000,-,-,-,-,-

Order History: Order History
Products,Leverage,Direction,Position Type,Type,Filled Amount,Order Amount,Pending Order Time,Order number,Deal price,Pending order price,Status,Transaction No,Time of order execution,Fees,Take Profit Price,Stop price
SOLUSDT,50,sell,Market TP Order,close,5.00000000 SOL,5.00000000SOL,2026-08-10 16:02:49,84964433,78.74000000,78.74000000,executed,142508318,2026-08-19 22:38:59,-0.18000000 USDT,78.74000000,-
SOLUSDT,50,sell,Market SL Order,close,-,5.00000000SOL,2026-08-10 16:01:38,85483921,-,65.00000000,cancelled by system,,2026-08-19 22:38:59,-,-,65.00000000
SOLUSDT,20,sell,Market TP Order,close,-,20.00000000SOL,2026-08-10 03:16:15,84976592,-,78.87000000,cancelled by system,,2026-08-10 15:58:14,-,78.87000000,-
SOLUSDT,20,sell,Market SL Order,close,-,20.00000000SOL,2026-08-09 00:17:55,85483938,-,70.70000000,cancelled by system,,2026-08-10 15:58:14,-,-,70.70000000
SOLUSDT,50,sell,limit price,open,-,5.00000000SOL,2026-07-28 00:02:55,83176458,-,78.87000000,cancelled manually,,2026-08-03 19:20:33,-,74.35000000,-
SOLUSDT,50,buy,limit price,open,5.00000000 SOL,5.00000000SOL,2026-07-27 10:40:11,84922584,75.55000000,75.55000000,executed,139937909,2026-07-27 22:30:23,-0.09000000 USDT,77.87000000,-
