"Ticket","Symbol","Side","Stop Loss","Take Profit","Open Time","Open Price","Closed Time","Closed Price","Duration","P&L","Lots","Commissions"
"MGCZ6/630142131518","MGCZ6","SELL","0","0","28-08-2026, 06:57:04","4662.9","28-08-2026, 07:07:20","4656.3","10m 15s","$66.00","1","1.20"
"MCLV6/630142131529","MCLV6","SELL","0","0","28-08-2026, 02:30:22","83.42","28-08-2026, 07:12:42","83.03","4h 42m","$39.00","1","1.74"
"MCLV6/630142131528","MCLV6","SELL","0","0","28-08-2026, 02:30:18","83.42","28-08-2026, 07:12:42","83.03","4h 42m","$39.00","1","1.74"
"MCLV6/630142131347","MCLV6","SELL","0","0","27-08-2026, 18:00:57","84.04","27-08-2026, 20:09:58","83.67","2h 9m","$74.00","2","2.32"
"MESU6/630142131283","MESU6","SELL","0","0","27-08-2026, 16:54:09","7751.75","27-08-2026, 18:27:15","7728","1h 33m","$356.25","3","5.70"
"MNQU6/630142131180","MNQU6","SELL","0","0","27-08-2026, 08:28:14","29645","27-08-2026, 11:46:29","29539","3h 18m","$424.00","2","3.80"
"MYMU6/630142131013","MYMU6","SELL","0","0","26-08-2026, 20:08:04","53673","26-08-2026, 20:10:00","53662","1m 56s","$27.50","5","9.50"
"M2KU6/630142131004","M2KU6","SELL","0","0","26-08-2026, 14:02:22","3019.5","26-08-2026, 20:10:00","3012.4","6h 7m","$284.00","8","15.20"
"M2KU6/630142130862","M2KU6","BUY","0","0","26-08-2026, 12:54:28","3004.4","26-08-2026, 13:38:48","3012.2","44m 19s","$195.00","5","12.35"
"M2KU6/630142130870","M2KU6","BUY","0","0","26-08-2026, 12:54:28","3004.4","26-08-2026, 13:38:48","3012.2","44m 19s","$78.00","2","9.50"
"M2KU6/630142130854","M2KU6","BUY","0","0","26-08-2026, 12:54:28","3004.4","26-08-2026, 13:38:47","3012.2","44m 18s","$39.00","1","8.55"
"MYMU6/630142130833","MYMU6","BUY","0","0","26-08-2026, 03:52:33","53687","26-08-2026, 12:28:02","53739","8h 35m","$130.00","5","9.50"
"MYMU6/630142130596","MYMU6","BUY","0","0","25-08-2026, 04:00:26","53481","25-08-2026, 09:14:01","53673","5h 13m","$96.00","1","2.85"
"MYMU6/630142130624","MYMU6","BUY","0","0","25-08-2026, 04:00:26","53481","25-08-2026, 09:34:08","53719","5h 33m","$119.00","1","3.80"
"MYMU6/630142130632","MYMU6","BUY","0","0","25-08-2026, 04:00:26","53481","25-08-2026, 09:34:08","53719","5h 33m","$119.00","1","3.80"
"MYMU6/630142130595","MYMU6","BUY","0","0","25-08-2026, 04:00:24","53481","25-08-2026, 09:14:01","53673","5h 13m","$288.00","3","2.85"
"M2KU6/630142130447","M2KU6","BUY","0","0","24-08-2026, 17:34:57","2998.6","24-08-2026, 18:21:56","3003","46m 59s","$22.00","1","6.65"
"M2KU6/630142130446","M2KU6","BUY","0","0","24-08-2026, 17:34:57","2998.6","24-08-2026, 18:21:56","3003","46m 59s","$22.00","1","6.65"
"M2KU6/630142130445","M2KU6","BUY","0","0","24-08-2026, 17:34:55","2998.6","24-08-2026, 18:21:56","3003","47m 1s","$22.00","1","6.65"
"M2KU6/630142130444","M2KU6","BUY","0","0","24-08-2026, 17:34:51","2998.6","24-08-2026, 18:21:56","3003","47m 5s","$66.00","3","9.50"
"M2KU6/630142130436","M2KU6","BUY","0","0","24-08-2026, 17:34:51","2998.6","24-08-2026, 18:21:55","3003","47m 4s","$22.00","1","4.75"
"MYMU6/630142130350","MYMU6","BUY","0","0","24-08-2026, 11:07:53","53229","24-08-2026, 13:32:35","53454","2h 24m","$112.50","1","5.70"
"MYMU6/630142130342","MYMU6","BUY","0","0","24-08-2026, 11:07:53","53229","24-08-2026, 13:32:35","53454","2h 24m","$450.00","4","8.55"
"M2KU6/630142130261","M2KU6","SELL","0","0","24-08-2026, 03:26:27","3024.5","24-08-2026, 04:24:48","3021.3","58m 20s","$16.00","1","2.85"
"M2KU6/630142130269","M2KU6","SELL","0","0","24-08-2026, 03:26:27","3024.5","24-08-2026, 04:27:21","3021.3","1h 0m","$16.00","1","2.85"
"M2KU6/630142130216","M2KU6","SELL","0","0","21-08-2026, 20:07:21","3021.8","21-08-2026, 20:09:56","3022.1","2m 35s","-$6.00","4","7.60"
