account,product,contract,direction,qty,entry_price,entry_time,exit_price,exit_time,pnl,source
TAKEPROFITPRO311919544,MYM,MYMM6,Short,2.0,50888.0,2026-06-09T14:30:14,50857.0,2026-06-09T16:55:02,31.0,Orders-22.csv
TAKEPROFITPRO311919544,M2K,M2KM6,Short,2.0,2906.1,2026-06-09T09:37:52,2866.2,2026-06-09T16:55:02,399.0,Orders-22.csv
TAKEPROFITPRO311919544,M2K,M2KM6,Short,3.0,2924.7,2026-06-09T09:51:49,2866.2,2026-06-09T16:55:02,877.5,Orders-22.csv
PA-APEX-484839-01,M2K,M2KM6,Short,2.0,2906.1,2026-06-09T09:37:52,2866.0,2026-06-09T16:59:00,401.0,Orders-21.csv
PA-APEX-484839-01,M2K,M2KM6,Short,3.0,2924.7,2026-06-09T09:51:49,2866.0,2026-06-09T16:59:00,880.5,Orders-21.csv
PA-APEX-484839-01,MYM,MYMM6,Short,1.0,50773.0,2026-06-09T13:41:06,50858.0,2026-06-09T16:59:00,-42.5,Orders-21.csv
PA-APEX-484839-01,MYM,MYMM6,Short,2.0,50888.0,2026-06-09T14:30:14,50858.0,2026-06-09T16:59:00,30.0,Orders-21.csv
TAKEPROFITPRO311919544,M2K,M2KM6,Short,1.0,2900.0,2026-06-10T09:46:04,2832.4,2026-06-10T16:55:04,338.0,Orders-23.csv
PA-APEX-484839-01,M2K,M2KM6,Short,1.0,2900.0,2026-06-10T09:46:04,2832.2,2026-06-10T16:59:00,339.0,Orders-24.csv
TAKEPROFITPRO311919544,MYM,MYMM6,Short,1.0,50392.0,2026-06-11T05:42:36,50808.0,2026-06-11T13:41:17,-208.0,Orders-26.csv
TAKEPROFITPRO311919544,MYM,MYMM6,Short,1.0,50454.0,2026-06-11T13:28:50,50808.0,2026-06-11T13:41:17,-177.0,Orders-26.csv
TAKEPROFITPRO311919544,MYM,MYMM6,Short,2.0,50522.0,2026-06-11T13:28:54,50808.0,2026-06-11T13:41:17,-286.0,Orders-26.csv
TAKEPROFITPRO311919544,M2K,M2KM6,Short,2.0,2870.0,2026-06-11T03:21:46,2913.9,2026-06-11T13:41:17,-439.0,Orders-26.csv
TAKEPROFITPRO311919544,M2K,M2KM6,Short,1.0,2878.0,2026-06-11T09:46:32,2913.9,2026-06-11T13:41:17,-179.5,Orders-26.csv
TAKEPROFITPRO311919544,M2K,M2KM6,Short,3.0,2897.0,2026-06-11T13:29:57,2913.9,2026-06-11T13:41:17,-253.5,Orders-26.csv
PA-APEX-484839-01,M2K,M2KM6,Short,2.0,2870.0,2026-06-11T03:21:46,2913.8,2026-06-11T13:41:59,-438.0,Orders-25.csv
PA-APEX-484839-01,M2K,M2KM6,Short,1.0,2878.0,2026-06-11T09:46:32,2913.8,2026-06-11T13:41:59,-179.0,Orders-25.csv
PA-APEX-484839-01,M2K,M2KM6,Short,3.0,2897.0,2026-06-11T13:29:57,2913.8,2026-06-11T13:41:59,-252.0,Orders-25.csv
PA-APEX-484839-01,MYM,MYMM6,Short,1.0,50392.0,2026-06-11T05:42:36,50814.0,2026-06-11T13:41:59,-211.0,Orders-25.csv
