orderId,Account,Order ID,B/S,Contract,Product,Product Description,avgPrice,filledQty,Fill Time,lastCommandId,Status,_priceFormat,_priceFormatType,_tickSize,spreadDefinitionId,Version ID,Timestamp,Date,Quantity,Text,Type,Limit Price,Stop Price,decimalLimit,decimalStop,Filled Qty,Avg Fill Price,decimalFillAvg,Venue,Notional Value,Currency
416408896291,APEX4848390000006,416408896291, Sell,RTYM6,RTY,E-Mini Russell 2000,2877.7000000000003,1,05/14/2026 12:04:14,416408896380, Filled,-2,0,0.1,,416408896380,05/14/2026 11:58:49,5/14/26,1,Tradingview, Limit,2877.70,,2877.7,,1,2877.70,2877.7000000000003,,"143,885.00",USD
416408896294,APEX4848390000006,416408896294, Buy,RTYM6,RTY,E-Mini Russell 2000,2863.1000000000004,1,05/14/2026 13:20:30,416408896391, Filled,-2,0,0.1,,416408896391,05/14/2026 12:04:14,5/14/26,1,Tradingview, Limit,2863.10,,2863.1,,1,2863.10,2863.1000000000004,,"143,155.00",USD
416408896311,APEX4848390000006,416408896311, Sell,MGCM6,MGC,E-Micro Gold,,,,416408896346, Canceled,-1,0,0.1,,416408896346,05/14/2026 07:03:20,5/14/26,1,Tradingview, Limit,4751.9,,4751.9,,,,,,,USD
416408896314,APEX4848390000006,416408896314, Buy,MGCM6,MGC,E-Micro Gold,,,,416408896334, Canceled,-1,0,0.1,,416408896334,05/13/2026 23:03:23,5/13/26,1,Tradingview, Limit,4654.8,,4654.8,,,,,,,USD
416408896365,APEX4848390000006,416408896365, Sell,YMM6,YM,E-Mini Dow ($5),,,,416408896365, Canceled,0,0,1.0,,416408896365,05/14/2026 07:25:36,5/14/26,1,Tradingview, Limit,50550,,50550.0,,,,,,,USD
416408896368,APEX4848390000006,416408896368, Buy,YMM6,YM,E-Mini Dow ($5),,,,416408896368, Canceled,0,0,1.0,,416408896368,05/14/2026 07:25:36,5/14/26,1,Tradingview, Limit,50390,,50390.0,,,,,,,USD
